latitude;longitude;descr_cat_veh;descr_agglo;descr_athmo;description_intersection;age;descr_grav;descr_motif_traj;descr_type_col
46.2333;6.31667;2;2;2;2;75;1;2;1
48.0333;4.41667;1;2;1;1;49;1;1;1
49.2;0.716667;2;2;2;2;70;1;2;1
49.3;1.35;1;2;2;1;58;1;1;1
49.0;2.38333;2;2;2;2;57;1;2;1
49.05;2.1;2;2;1;1;61;1;2;1
48.9833;2.2;2;2;1;1;73;1;2;1
48.9833;2.2;1;2;1;1;59;1;2;1
49.0;2.38333;2;2;2;2;64;1;2;1
43.6833;4.13333;2;2;2;1;91;1;2;1
43.6667;3.85;2;2;2;1;34;1;2;1
43.6;3.88333;2;2;1;2;34;1;2;1
43.6;3.88333;2;2;1;2;56;1;2;1
43.6;3.88333;1;2;2;1;38;1;2;1
47.1167;-2.1;2;1;2;1;85;3;2;1
49.3;2.88333;2;1;1;1;48;3;1;1
47.35;-0.85;1;1;2;1;47;3;1;1
43.8;4.23333;1;1;2;1;77;3;1;1
43.3;6.08333;2;1;2;1;38;3;1;1
46.0833;-0.916667;2;1;1;1;68;3;1;1
45.7333;-0.95;2;1;2;1;54;3;2;1
47.5667;7.25;1;1;2;1;35;3;1;1
46.2167;-0.933333;2;1;2;1;75;3;2;1
46.1333;6.26667;1;1;2;1;35;3;1;1
45.15;3.53333;2;1;2;1;36;3;1;1
44.85;0.4;2;1;1;1;35;3;1;1
48.0589;5.05695;1;1;1;1;32;3;2;1
46.0;6.0;2;1;2;1;83;3;1;1
49.0833;4.21667;2;1;2;1;34;3;2;1
48.8333;3.75;2;1;2;1;38;3;2;1
49.3864;1.30695;2;1;1;1;34;3;1;1
46.95;4.68333;1;1;1;1;34;3;2;1
43.75;3.83333;2;1;2;2;53;3;1;1
43.2667;2.73333;2;1;2;1;35;3;1;1
47.7833;-3.41667;1;1;2;1;36;3;1;1
47.8167;-2.28333;2;1;1;1;54;3;1;1
48.0;-2.58333;2;1;2;1;33;3;2;1
47.1333;-1.75;2;1;2;1;34;3;1;1
47.5333;-1.88333;1;1;2;1;29;3;2;1
47.1667;-1.26667;1;1;2;1;53;3;2;1
47.6333;-2.13333;1;1;2;1;71;3;2;1
48.0;1.23333;2;1;2;1;109;3;1;1
43.9667;4.68333;2;1;2;1;35;3;2;1
43.6234;6.70223;1;1;2;1;31;3;2;1
46.3167;2.26667;2;1;2;2;97;3;2;1
48.75;3.98333;2;1;2;1;80;3;1;1
46.6167;-1.25;1;1;2;1;54;3;1;1
47.1333;0.783333;2;1;2;1;34;3;1;1
48.0667;-0.933333;1;1;1;1;55;3;2;1
46.55;5.58333;2;1;1;1;36;3;1;1
49.0167;4.06667;2;1;2;1;73;3;2;1
49.0167;4.06667;2;1;2;1;91;3;2;1
43.1333;-0.466667;2;1;2;1;40;3;1;1
45.7;5.83333;2;1;2;1;47;3;1;1
47.7833;7.0;2;1;2;1;83;3;2;1
43.7;1.81667;2;2;2;1;46;3;2;1
47.4833;-1.23333;2;1;1;1;53;3;1;1
47.1167;-2.1;1;1;2;1;44;3;1;1
45.6;5.63333;2;1;1;1;57;3;1;1
42.6084;2.39972;2;1;2;1;60;3;1;1
42.7667;2.98333;2;1;1;1;38;3;2;1
42.4667;1.93333;2;1;2;1;58;3;2;1
45.9667;0.066667;1;1;2;2;29;3;2;1
48.3833;-3.3;2;1;2;2;58;3;1;1
48.2833;-4.05;2;1;2;1;48;3;1;1
48.5659;3.39723;1;1;2;2;42;3;2;1
48.1667;-3.78333;2;1;1;1;44;3;2;1
46.4659;-0.984722;2;1;2;1;59;3;1;1
46.4659;-0.984722;2;1;2;1;56;3;1;1
43.6167;-0.566667;2;1;2;1;68;3;2;1
43.6167;-0.566667;2;1;2;1;58;3;2;1
43.75;-0.35;2;1;1;1;59;3;1;1
49.0833;0.95;2;1;1;1;69;3;1;1
49.2667;1.38333;2;1;1;1;36;3;1;1
48.9833;1.19167;1;1;1;1;33;3;1;1
49.1;0.616667;2;1;2;1;73;3;2;1
49.2;1.25;1;1;2;2;33;3;1;1
44.4833;2.4;2;1;1;1;74;3;2;1
47.4833;5.58333;2;1;2;1;38;3;2;1
47.4833;5.58333;2;1;2;1;82;3;2;1
48.05;1.98333;2;1;1;1;57;3;1;1
48.0167;2.9;2;1;1;1;50;3;1;1
49.3;2.88333;2;1;1;1;64;3;1;1
49.2667;2.36667;2;1;1;1;74;3;2;1
43.9333;4.31667;2;1;2;1;61;3;2;1
47.4667;7.26667;2;1;2;2;61;3;1;1
47.4667;7.26667;2;1;2;2;76;3;1;1
48.0625;7.48001;2;1;1;1;49;3;2;1
47.8833;7.01667;1;1;2;1;51;3;1;1
47.8167;7.25;2;1;2;1;92;3;1;1
47.6333;7.1;2;1;2;1;60;3;2;1
48.4667;3.43333;2;1;1;1;75;3;1;1
49.05;-0.283333;2;1;2;1;35;3;2;1
49.05;-0.283333;2;1;2;1;40;3;1;1
49.1667;-0.583333;1;1;1;1;72;3;1;1
49.3;0.183333;2;1;1;1;92;3;2;1
47.8167;-1.95;2;1;1;1;36;3;1;1
47.9167;-1.23333;2;1;2;2;34;3;1;1
47.9167;-1.23333;2;1;2;2;81;3;1;1
47.9333;-1.6;1;1;1;1;31;3;1;1
48.1;-1.11667;2;1;2;1;60;3;1;1
48.2667;-1.4;2;1;1;1;39;3;1;1
48.2667;-1.4;2;1;1;1;44;3;1;1
47.55;-0.416667;2;1;1;1;71;3;2;1
47.6333;-0.283333;2;1;1;1;55;3;1;1
47.6333;-0.283333;2;1;1;1;41;3;1;1
47.4;-0.55;2;1;1;1;38;3;1;1
47.4;-0.55;2;1;1;1;75;3;1;1
47.65;-0.433333;2;1;1;1;35;3;1;1
47.1333;-0.15;1;1;2;1;49;3;2;1
47.2667;-0.083333;2;1;2;1;91;3;2;1
47.2667;-0.083333;2;1;2;1;93;3;2;1
47.2667;-0.083333;2;1;2;1;61;3;2;1
47.2667;-0.083333;2;1;2;1;22;3;2;1
47.2667;-0.083333;2;1;2;1;20;3;2;1
43.8167;4.46667;1;1;2;1;88;3;2;1
44.1667;4.08333;2;1;2;1;53;3;2;1
44.2333;4.45;2;1;2;1;69;3;2;1
43.8;4.25;1;1;2;2;82;3;2;1
44.0167;4.05;2;1;2;1;40;3;2;1
44.0167;4.05;2;1;2;1;35;3;1;1
43.3;6.08333;2;1;2;1;98;3;1;1
45.6333;-0.65;2;1;2;1;79;3;2;1
45.7333;-0.95;2;1;2;1;92;3;2;1
44.2;3.18333;2;1;1;1;54;3;2;1
46.5833;0.266667;2;1;2;1;68;3;2;1
47.2833;1.33333;1;1;2;2;37;3;2;1
44.8333;0.666667;2;1;2;1;63;3;1;1
45.1453;0.528056;2;1;2;1;30;3;1;1
47.5667;7.25;2;1;2;1;38;3;1;1
47.85;7.51667;2;1;1;1;56;3;1;1
47.85;7.51667;2;1;1;1;37;3;1;1
49.4333;5.6;2;1;2;1;48;3;2;1
49.4333;5.6;2;1;2;1;36;3;2;1
48.65;6.18333;2;1;1;1;64;3;1;1
48.6333;6.3;1;1;2;1;36;3;2;1
49.4833;5.75;2;1;1;1;66;3;2;1
49.4833;5.75;2;1;1;1;37;3;1;1
45.2167;3.93333;2;1;1;2;86;3;2;1
49.1667;4.01667;2;1;1;1;40;3;1;1
49.0167;3.9;1;1;1;1;37;3;1;1
48.7667;0.816667;2;1;1;1;58;3;2;1
46.2167;-0.933333;2;1;2;1;42;3;1;1
46.1833;-1.06667;1;1;2;1;38;3;2;1
46.1333;6.26667;1;1;2;1;65;3;2;1
46.6167;0.433333;2;1;2;1;50;3;2;1
45.1333;0.85;1;1;1;1;64;3;1;1
44.85;0.4;2;1;1;1;58;3;1;1
45.25;1.15;2;1;2;1;70;3;1;1
48.6167;4.9;2;1;2;1;48;3;1;1
50.0667;2.05;2;1;2;1;81;3;2;1
50.0667;2.05;2;1;2;1;61;3;1;1
46.0667;6.53333;2;1;1;1;80;3;2;1
48.0667;4.46667;2;1;2;1;95;3;1;1
43.9;2.0;1;1;2;1;55;3;2;1
43.8333;1.75;2;1;2;1;88;3;2;1
43.9667;2.06667;2;1;2;1;69;3;1;1
49.0833;4.21667;2;1;2;1;70;3;2;1
49.0833;4.21667;2;1;2;1;33;3;2;1
49.0833;4.21667;2;1;2;1;32;3;2;1
48.9583;4.36667;2;1;2;1;59;3;1;1
46.6333;-0.516667;2;1;1;1;58;3;2;1
46.6333;-0.516667;2;1;1;1;42;3;2;1
49.3864;1.30695;1;1;1;1;56;3;1;1
47.4167;4.9;2;1;1;1;66;3;1;1
47.1167;5.05;2;1;1;1;56;3;1;1
47.25;5.15;2;1;1;1;74;3;2;1
47.4667;4.36667;2;1;1;1;34;3;1;1
47.4667;4.36667;2;1;1;1;43;3;1;1
43.6167;3.73333;2;1;2;1;64;3;1;1
43.4833;3.8;2;1;2;1;53;3;1;1
43.75;3.83333;2;1;2;2;49;3;1;1
43.4167;3.3;2;1;2;1;53;3;2;1
43.2667;2.73333;1;1;2;1;68;3;2;1
43.6667;1.48333;1;1;2;2;40;3;2;1
43.6333;1.6;2;1;1;1;74;3;1;1
43.5848;1.52611;1;1;1;1;53;3;1;1
43.6;1.43333;2;1;2;1;41;3;2;1
47.6833;-2.55;1;1;2;1;40;3;2;1
47.8167;-2.28333;2;1;1;1;35;3;1;1
48.0;-2.58333;2;1;2;1;49;3;2;1
47.6333;-2.66667;2;1;1;1;86;3;1;1
47.1333;-1.75;2;1;2;1;34;3;2;1
45.3833;1.36667;1;1;2;1;61;3;2;1
43.6833;4.43333;2;1;2;1;69;3;1;1
43.6833;4.43333;2;1;2;1;57;3;1;1
48.0;1.23333;2;1;2;1;74;3;2;1
45.3167;1.76667;1;1;2;2;86;3;2;1
47.2667;-0.083333;2;1;2;1;52;3;2;1
44.2;4.15;1;1;2;1;30;3;2;1
43.9667;4.68333;2;1;2;1;65;3;2;1
48.4167;4.58333;2;1;1;1;43;3;1;1
48.4167;4.58333;2;1;1;1;67;3;1;1
48.4;4.46667;2;1;2;1;16;3;2;1
48.4;4.46667;2;1;2;1;19;3;2;1
48.4;4.46667;2;1;2;1;21;3;2;1
48.4;4.46667;2;1;2;1;18;3;2;1
48.4;4.46667;2;1;2;1;44;3;2;1
48.3333;4.7;1;1;2;1;33;3;1;1
48.1167;3.88333;2;1;2;1;41;3;2;1
48.1167;3.88333;2;1;2;1;58;3;1;1
48.2333;4.61667;2;1;2;1;36;3;2;1
48.4167;4.45;2;1;1;1;43;3;2;1
48.4167;4.45;2;1;1;1;35;3;2;1
48.2667;4.1;2;1;2;1;48;3;1;1
49.85;2.63333;2;1;2;1;62;3;2;1
48.5333;6.26667;1;1;2;1;39;3;2;1
48.5333;6.26667;2;1;2;1;60;3;2;1
43.1587;6.46167;1;1;2;2;56;3;2;1
43.1587;6.46167;1;1;2;2;48;3;2;1
43.6234;6.70223;2;1;2;1;40;3;1;1
43.3;6.63333;2;1;2;1;70;3;1;1
43.3;6.63333;2;1;2;1;84;3;2;1
43.4;5.93333;1;1;2;1;103;3;2;1
46.1667;2.01667;2;1;2;1;39;3;1;1
42.6333;2.75;1;1;2;1;30;3;2;1
42.4667;1.93333;1;1;2;1;29;3;2;1
42.65;2.53333;2;1;2;1;34;3;2;1
42.65;2.53333;2;1;2;1;81;3;2;1
49.0167;4.41667;1;1;2;1;48;3;2;1
43.3333;1.61667;2;1;1;1;68;3;1;1
49.4167;2.65;2;1;1;2;96;3;1;1
49.3833;2.58333;2;1;1;2;86;3;2;1
42.6833;2.88333;2;1;1;1;77;3;2;1
46.8667;-1.1;1;1;2;1;61;3;2;1
46.9667;-1.0;2;1;2;1;33;3;1;1
46.5833;-1.51667;2;1;2;1;54;3;1;1
46.5833;-1.51667;2;1;2;1;42;3;2;1
46.5833;-1.51667;2;1;2;1;64;3;1;1
46.5667;-0.783333;2;1;2;1;34;3;1;1
46.5667;-0.783333;2;1;2;1;79;3;2;1
48.4667;7.71667;2;1;1;1;92;3;1;1
48.5333;7.46667;2;1;1;1;81;3;2;1
44.3833;0.316667;2;1;1;2;70;3;1;1
47.1333;0.783333;2;1;2;1;68;3;1;1
46.4833;6.06667;2;1;1;1;40;3;2;1
46.9833;5.61667;2;1;1;1;108;3;2;1
47.0333;5.56667;2;1;2;1;67;3;1;1
46.55;5.58333;2;1;1;1;33;3;2;1
46.3667;5.71667;2;1;2;1;40;3;2;1
47.1;5.5;2;1;2;1;41;3;1;1
43.3583;-1.7;2;1;1;1;65;3;2;1
49.0167;4.06667;2;1;2;1;40;3;2;1
49.0167;4.06667;2;1;2;1;71;3;2;1
49.0167;4.06667;2;1;2;1;96;3;2;1
49.0167;4.06667;2;1;2;1;82;3;2;1
43.35;-1.55;2;1;1;1;91;3;1;1
43.35;-1.55;2;1;1;1;67;3;2;1
44.5167;0.033333;2;1;1;1;77;3;2;1
43.9333;2.85;2;1;2;1;100;3;2;1
44.4;2.03333;2;1;1;1;35;3;2;1
50.7;3.16667;2;1;2;2;60;3;1;1
50.7;3.16667;2;1;2;2;44;3;1;1
50.7;3.16667;1;1;1;2;58;3;1;1
50.7;2.83333;2;1;2;2;97;3;1;1
50.2;4.03333;2;1;2;1;67;3;1;1
50.2;4.03333;2;1;2;1;50;3;2;1
50.7;3.21667;2;1;2;1;91;3;1;1
50.6667;3.15;2;1;2;1;63;3;1;1
50.3;3.48333;2;1;2;1;35;3;2;1
50.7;3.16667;2;1;2;2;55;3;1;1
50.6714;3.21445;2;1;2;2;21;3;2;1
50.6714;3.21445;2;1;2;2;48;3;2;1
50.6714;3.21445;2;1;2;2;19;3;2;1
50.6714;3.21445;2;1;2;2;49;3;2;1
46.7333;-0.25;1;1;2;1;30;3;2;1
46.2;-0.583333;2;1;2;1;53;3;2;1
46.2;-0.583333;2;1;2;1;58;3;2;1
48.5167;0.533333;2;1;1;1;51;3;1;1
48.65;0.766667;2;1;2;1;73;3;1;1
45.7167;5.25;2;1;2;1;67;3;1;1
45.1167;5.7;1;1;2;2;41;3;2;1
45.6333;5.11667;2;1;1;1;50;3;1;1
45.6333;5.15;2;1;2;1;73;3;2;1
44.95;5.76667;2;1;2;1;69;3;2;1
45.4667;4.83333;2;1;2;1;43;3;2;1
42.9923;-0.0730556;2;1;2;1;57;3;1;1
43.4333;0.583333;2;1;2;1;34;3;1;1
43.5312;0.844722;2;1;1;1;51;3;1;1
44.0667;2.98333;1;1;2;1;29;3;2;1
44.4;0.716667;1;1;1;1;57;3;1;1
44.3667;0.15;2;1;2;2;50;3;2;1
45.6333;5.9;2;1;2;2;41;3;1;1
45.2667;6.33333;1;1;1;1;34;3;1;1
45.2464;6.30251;2;1;1;1;72;3;2;1
47.0;2.1;2;1;2;1;70;3;1;1
46.95;1.31667;1;1;1;1;60;3;2;1
43.9667;-1.08333;2;1;2;1;104;3;2;1
43.9667;-1.08333;2;1;2;1;57;3;1;1
45.7167;5.95;2;1;2;1;34;3;2;1
46.0333;-0.833333;2;1;2;1;98;3;2;1
46.2167;-1.03333;1;1;2;1;46;3;1;1
46.2167;-1.03333;2;1;2;1;46;3;1;1
47.675;7.36667;1;1;2;1;98;3;1;1
47.4667;7.36667;1;1;2;1;58;3;2;1
45.2333;1.36667;2;1;2;2;104;3;1;1
42.6833;2.88333;1;2;2;1;49;3;1;1
46.5345;0.782223;1;2;2;1;41;3;2;1
47.5833;1.38333;1;2;2;1;33;3;1;1
47.7833;6.98333;2;2;1;1;37;3;2;1
43.8333;4.35;1;2;2;1;31;3;2;1
44.0833;4.75;1;2;2;1;28;3;2;1
43.6;5.96667;2;2;1;1;43;3;2;1
43.6;5.96667;2;2;1;1;70;3;1;1
45.6939;-0.508333;1;2;1;1;35;3;1;1
45.95;-0.516667;1;2;2;1;30;3;2;1
46.0667;-1.0;2;2;2;2;36;3;1;1
45.6667;-1.01667;1;2;2;1;31;3;2;1
47.0833;-0.083333;2;2;2;1;64;3;1;1
47.7833;7.0;2;2;2;1;81;3;1;1
48.55;6.38333;2;2;2;1;76;3;1;1
49.2614;3.98584;2;2;2;2;54;3;1;1
48.9667;4.31667;1;2;1;2;34;3;2;1
49.1667;1.33333;2;2;2;1;48;3;1;1
49.3333;0.616667;2;2;1;1;51;3;1;1
45.9333;6.63333;2;2;1;1;79;3;2;1
45.4;3.33333;1;2;2;1;37;3;2;1
45.4;3.33333;2;2;2;1;55;3;1;1
45.9333;6.63333;1;2;2;2;30;3;2;1
48.2;4.2;2;2;2;1;71;3;1;1
48.0333;4.41667;1;2;1;1;67;3;1;1
